"Tipo de elección.","Año del proceso electoral.","Mes del proceso electoral.","Número de vuelta (en procesos a una sola vuelta = 1) o Número de pregunta en Referéndum.","Código de la Comunidad Autónoma o 99 si se trata del Total Nacional del C.E.R.A.","Código I.N.E. de la provincia o 99 si se trata del Total Nacional o Autonómico del C.E.R.A.","Municipio","Código de la sección (tres dígitos seguidos de un espacio, letra mayúscula u otro dígito).","Código de la mesa (una letra mayúscula identificando la mesa o una ‘U’ en caso de mesa única).","Censo del I.N.E.","Censo de escrutinio o censo C.E.R.A.","Censo C.E.R.E. en escrutinio (Residentes Extranjeros).","Total votantes C.E.R.E. (Residentes Extranjeros).","Votantes del primer avance de participación.","Votantes del segundo avance de participación.","Votos en blanco.","Votos nulos.","Votos a candidaturas.","Votos afirmativos en Referéndum o ceros en otros procesos electorales.","Votos negativos en Referéndum o ceros en otros procesos electorales.","Datos oficiales (Si/No)."
07,1994,06,1,01,18,DÓLAR,01,001 ,U,0000578,0000578,0000000,0000000,0000306,0000367,0000000,0000003,0000433,0000000,0000000,N
07,1994,06,1,01,18,GÓJAR,01,001 ,B,0000956,0000956,0000000,0000000,0000372,0000493,0000006,0000005,0000636,0000000,0000000,N
07,1994,06,1,01,18,GRANADA,02,017 ,A,0000587,0000587,0000000,0000000,0000251,0000322,0000000,0000001,0000391,0000000,0000000,N
07,1994,06,1,01,18,GRANADA,02,020 ,U,0001316,0001316,0000000,0000000,0000557,0000771,0000010,0000002,0000917,0000000,0000000,N
07,1994,06,1,01,18,GRANADA,02,025 ,B,0000972,0000972,0000000,0000000,0000425,0000579,0000003,0000006,0000669,0000000,0000000,N
07,1994,06,1,01,18,GRANADA,02,044 ,U,0000840,0000840,0000000,0000000,0000277,0000379,0000003,0000002,0000511,0000000,0000000,N
07,1994,06,1,01,18,GRANADA,03,016 ,U,0000898,0000898,0000000,0000000,0000212,0000284,0000002,0000001,0000358,0000000,0000000,N
07,1994,06,1,01,18,GRANADA,03,030 ,U,0001207,0001207,0000000,0000000,0000345,0000433,0000002,0000003,0000589,0000000,0000000,N
07,1994,06,1,01,18,GRANADA,05,001 ,U,0000720,0000720,0000000,0000000,0000281,0000349,0000004,0000006,0000406,0000000,0000000,N
07,1994,06,1,01,18,GRANADA,06,008 ,U,0001002,0001002,0000000,0000000,0000462,0000572,0000011,0000000,0000671,0000000,0000000,N
07,1994,06,1,01,18,GRANADA,06,019 ,U,0000991,0000991,0000000,0000000,0000436,0000564,0000008,0000005,0000705,0000000,0000000,N
07,1994,06,1,01,18,GRANADA,07,013 ,B,0001013,0001013,0000000,0000000,0000412,0000543,0000006,0000002,0000690,0000000,0000000,N
07,1994,06,1,01,18,GRANADA,07,014 ,U,0001213,0001213,0000000,0000000,0000519,0000681,0000008,0000004,0000796,0000000,0000000,N
